HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,N_UNITS,LI_UNITS,YR_PIS,NONPROG,
"DEA19969002","EAST ATLANTIC APARTMENTS","100 EAST ATLANTIC CIRCLE","REHOBOTH BEACH",DE,"19971",38.732398986816,-75.12249755859,94,0,1996,,
"DEA19970005","EAST ATLANTIC ANNEX","100 EAST ATLANTIC CIRCLE","REHOBOTH BEACH",DE,"19971",38.732398986816,-75.12249755859,24,24,1997,,
"DEA19970010","FAIRFIELD COMMONS","100 FAIRFIELD COURT","MIDDLETOWN",DE,"19709",39.44921875,-75.69639587402,81,80,1997,,
"DEA19970015","GREENLAWN APARTMENTS","910 JANVIER CT","MIDDLETOWN",DE,"19709",39.455154418945,-75.71391296386,70,70,1997,,
"DEA19970025","WOODLAND MILLS I","900 WOODLAND MILLS DRIVE","SEAFORD",DE,"19973",38.652679443359,-75.60304260253,66,65,1997,,
"DEA19970030","PERSIMMON TREE","500 PERSIMMON TREE LN","DOVER",DE,"19901",39.193176269531,-75.51599884033,95,95,1997,,
"DEA19970035","WEST STREET MANOR","700 MASON AVENUE","HARRINGTON",DE,"19952",38.924613952636,-75.58353424072,32,0,1997,,
"DEA19979004","PERSIMMON TREE","500 PERSIMMON TREE LN #211","DOVER",DE,"19901",39.193176269531,-75.51599884033,96,0,1997,,
"DEA19980005","MILTON LANDING","1000 PALMER STREET EXT.","MILTON",DE,"19968",38.788677215576,-75.31077575683,48,48,1998,,
"DEA19980020","SAVANNAH WEST","2500 SAVANNAH WEST SQUARE","LEWES",DE,"19958",38.745750427246,-75.15737915039,48,48,1998,,
"DEA19980025","SHADY GROVE II","ROUTE 2, BOX 76","SELBYVILLE",DE,"19975",38.473701477050,-75.15029907226,25,0,1998,,
"DEA19980030","SAFE HAVEN","820-822 WEST STREET","WILMINGTON",DE,"19801",39.744819641113,-75.55191040039,10,0,1998,,
"DEA19990003","FRAZIER PLACE PHASE II","200 GOLDSBOROUGH WAY","SMYRNA",DE,"19977",39.301765441894,-75.59821319580,24,24,1999,,
"DEA19990010","VILLAS AT MILFORD CROSSING","806-A MOYER CIRCLE EAST","MILFORD",DE,"19963",38.927177429199,-75.43937683105,60,60,1999,,
"DEA19990020","WILLIAMSBURG MANOR","101 INDEPENDENCE DRIVE","SEAFORD",DE,"19973",38.655239105224,-75.60763549804,26,26,1999,,
"DEA19990035","CHRISTIANA FARMS II","215 CHRISTIANA FARMS PLACE","NEWARK",DE,"19702",39.646015167236,-75.71196746826,18,18,1999,,
"DEA19990800","WOODLAND MILLS II","900 WOODLAND MILLS DRIVE","SEAFORD",DE,"19973",38.652679443359,-75.60304260253,32,32,1999,,
"DEA20000010","COACHMANS MANOR","401 CARRIAGE WAY","NEW CASTLE",DE,"19720",39.678043365478,-75.56699371337,112,111,2000,,
